formula,image
\tilde { \rho } _ { \Psi } = { \frac { 1 } { 2 } } \left( { \frac { d \Psi } { d \tilde { t } } } \right) ^ { 2 } \ \ .,20892f66f9.png
"{ \cal L } _ { \Omega _ { \cal Z } } ( y , x ; u , v ) = \int \, { \frac { d ^ { 2 } z } { 2 \pi \hbar } } \, { \cal K } _ { z } ( y , x ) \, ( \Omega _ { \cal Z } : { \cal K } _ { z } ) ( v , u ) ~ .",23aa85ac56.png
"U ^ { \prime } = \, - \frac { k } { 2 \sqrt { 2 } } \frac { { \bf e ^ { U } } } { r ^ { 2 } } \left( p _ { 1 7 } e ^ { \phi } \, - \, p _ { 2 4 } B e ^ { - \phi } \right)",5b66a79ec5.png
"\begin{array} { c } { \widetilde { \tau } = \operatorname { c o s h } \omega \, \tau - \operatorname { s i n h } \omega \, \sigma , \hfill } \\ { \widetilde { \sigma } = \operatorname { c o s h } \omega \, \sigma - \operatorname { s i n h } \omega \, \tau . \hfill } \\ \end{array}",ef75f98014.png
\left[ \prod _ { X > 0 } \left[ \operatorname* { d e t } ~ A _ { I J } ( X ) \right] ^ { - 1 } \prod _ { I } { \cal D } \hat { \tilde { F } } _ { I } ( X ) \right] = \left[ \prod _ { X > 0 } \prod _ { I } { \cal D } \tilde { F } _ { I } ( X ) \right] ~ .,1ecece606b.png
\gamma ^ { a } \gamma ^ { b } = \eta ^ { a b } - \varepsilon ^ { a b } \gamma _ { 5 },30a08afcf3.png
"- \chi = n \Longrightarrow g = n + 1 \hspace { 0 . 2 c m } \textrm { f o r \emph { u n } o r i e n t e d s u r f a c e s } , \qquad \chi = 1 - g",5815cf0154.png
\langle \ | \pi ^ { \dagger } \pi | \ \rangle = \langle \ | \left( \frac { 1 } { 2 } p ^ { \dagger } p + \frac { 2 } { ( g \chi ) ^ { 2 } } G _ { \mathrm { r a d } } ^ { a } G _ { \mathrm { r a d } } ^ { a } \right) | \ \rangle \ .,12292e2ea2.png
"M _ { a b } { \cal P } ^ { b c } M _ { c d } = - M _ { a d } ~ ,",9e9d09a8c3.png
\check { R } _ { \xi _ { 1 } \xi _ { 2 } } \Delta _ { \xi _ { 1 } \xi _ { 2 } } ( a ) = \Delta _ { \xi _ { 2 } \xi _ { 1 } } ( a ) { \check { R } } _ { \xi _ { 1 } \xi _ { 2 } } \; \; \; \forall a \in \widehat { C H _ { q } ( 2 ) } \nonumber,7085c12016.png
C _ { 1 } = \gamma _ { 1 } \gamma _ { 3 } \ldots \gamma _ { 2 n - 1 },d84a8d784e.png
\int d ^ { 2 } x \; \epsilon _ { \mu \nu } \partial _ { \mu } A _ { \nu } \; = \; 0 \; .,1eb446cd57.png
{ \cal C } _ { N _ { c } } ( x ) + \frac { \Lambda ^ { N _ { c } } } { 4 },51b06a38e0.png
"\frac { d x ^ { \mu } } { d \lambda } = t ^ { \mu } ,",65513b5d73.png
"\bigl ( \omega ^ { a b } \bigr ) = \left( \begin{array} { c c c c } { 0 } & { 0 } & { 1 } & { 0 } \\ { 0 } & { 0 } & { 0 } & { 1 } \\ { - 1 } & { 0 } & { 0 } & { 0 } \\ { 0 } & { - 1 } & { 0 } & { 0 } \\ \end{array} \right) \, \delta ( x - y ) \, .",3539965675.png
{ \tilde { Q } } = \xi _ { H } ^ { i } g _ { i j } \theta ^ { j } \equiv \xi _ { i } \theta ^ { i },3bf1c6eaca.png
\begin{array} { c c c } { \hline } & { { \bf 2 8 } } & { \overline { { \bf 2 8 } } } \\ { \hline \hline { \bf 6 3 } } & { { \bf 3 6 } + { \bf 4 2 0 } } & { \overline { { \bf 3 6 } } + \overline { { \bf 4 2 0 } } } \\ { \hline { \bf 7 0 } } & { \overline { { \bf 4 2 0 } } } & { { \bf 4 2 0 } } \\ { \hline } \\ \end{array},2d161d80d5.png
"\lambda _ { 2 } ( g ) = \lambda ^ { ( 2 , 0 ) } \; \frac { g ^ { 2 } } { 2 } + \lambda ^ { ( 2 , 1 ) } \; \frac { g ^ { 2 } } { 2 } \operatorname { l o g } ( g ) + O ( g ^ { 3 } , g ^ { 3 } \operatorname { l o g } ( g ) ) .",1a4b1ae404.png
M = \int d ^ { 3 } x \frac { 1 } { 2 } [ ( E _ { a } ^ { i } ) ^ { 2 } + ( B _ { a } ^ { i } ) ^ { 2 } + ( D ^ { 0 } \phi _ { a } ) ^ { 2 } + ( D ^ { i } \phi _ { a } ) ^ { 2 } ] + V ( \phi ) .,5750375d48.png
\Delta _ { 0 } 2 \sigma = - 2 \pi _ { \bar { z } } ^ { z } \pi _ { z } ^ { \bar { z } } e ^ { - 2 \sigma } - \sum _ { n } m _ { n } \delta ^ { 2 } ( z - z _ { n } ^ { c } ),304fe352a6.png
{ \cal F } _ { a } ^ { i j } \sim \frac { 1 } { a e r ^ { 3 } } \epsilon _ { i j k } r ^ { k } \phi _ { a } .,c5a55383e9.png
"\partial _ { t } g _ { t } ( z ) = \frac { 2 } { g _ { t } ( z ) - \xi _ { t } } \ , \quad g _ { t = 0 } ( z ) = z",2722c354b0.png
"[ d X ] [ d \xi ] = \left( \frac { \beta } { 4 } \right) ^ { - 3 D / 4 } [ d Z ] ,",6db306f640.png
"H = { \frac { 2 M p _ { r } } { r } } \, , \qquad K = - { \frac { r ^ { 3 } p _ { r } } { 8 M } } \, , \qquad D = { \frac { 1 } { 2 } } r p _ { r } \, .",1b7bc49123.png
"\int _ { - x \prime } ^ { x \prime } d _ { q } x S ( \kappa x ) S ( \kappa ^ { \prime } x ) = M ( \kappa , x \prime ) \delta _ { \kappa , \kappa ^ { \prime } }",2b20652888.png
"q ^ { ( N ) } = { \cal Q } \left( \vec { Q } , P _ { N } \right) \; .",6b2d15905d.png
"n \Longleftrightarrow \bar { n } \ , \qquad m \Longleftrightarrow \bar { m } \ .",2124b38587.png
[ - \frac { 1 } { 2 } ( \Delta _ { 1 } + \Delta _ { 2 } ) + \mathrm { R D } + \frac { 3 } { \lambda _ { 1 } ^ { 2 } } + \mathrm { U } + \mathrm { R } - \mathrm { E } ] f _ { 1 } - \mathrm { Z } f _ { 2 } = - \lambda _ { 1 },3c214bd03d.png
\kappa = { \frac { 1 } { 4 \pi } } \left( \begin{array} { l l } { l } & { n } \\ { n } & { j } \\ \end{array} \right),2bdc993638.png
"\nabla _ { \mu } ( \Psi ) \mapsto \operatorname { e x p } ( i \mathbf { \alpha } ^ { a } \mathbf { t } ^ { a } ) \nabla _ { \mu } \Psi ,",357dde862e.png
"\hat { V } = \xi \partial _ { x } + \eta \partial _ { y } + \tau \partial _ { t } + \phi \partial _ { w } ,",6bbdc00cd8.png
\langle \phi ( x _ { 1 } ) C ( x _ { 2 } ) \phi ( x _ { 3 } ) C ( x _ { 4 } ) \rangle,40891ae8bd.png
"\left. \partial a _ { 1 } ( x , y ) \right| = \frac { 1 - 3 j } { 1 2 } ( \partial ^ { 3 } h ) - \frac { j } { 1 2 } ( \partial ^ { 3 } h ) \ .",416710a26a.png
"\beta _ { H } = { \frac { 1 } { L } } ( \beta - { \frac { 1 } { 4 } } ) ~ ~ ,",50a84cecbf.png
"( n _ { 1 } , \ldots , n _ { r } , \bar { n } _ { r + 1 } , \ldots , \bar { n } _ { s } ) , \quad \sum _ { k = 1 } ^ { s } n _ { k } = n ,",7ce7250526.png
t = t _ { 0 } + \alpha \tau \quad ; \quad \phi = \phi _ { 0 } + \beta \tau \quad ; \quad r = r ( \sigma ),11a3791fc9.png
F [ \omega ] = f ( \omega ^ { - 1 } ( x ) \partial _ { \mu } \omega ( x ) ),9b06bc9302.png
R _ { \alpha } R ^ { \alpha } = k - k ^ { 2 } \frac { p ^ { 2 } u v } { p ^ { 2 } k ^ { 2 } v ^ { 2 } + ( k v - u ) ^ { 2 } },38feb0b61c.png
s _ { 0 } B _ { n } = - \sum _ { s = 0 } ^ { n - 1 } s _ { n - s },2235dd877d.png
V = \omega ( u - \frac { \kappa \omega } { 2 } ) + C ( u - \kappa \omega ) ^ { 2 },64afcfc830.png
- \epsilon \frac { 3 } { 4 } C _ { a d j } = C _ { \rho } + \frac { 6 } { \sigma _ { 0 } } .,736888490d.png
F ^ { \prime A } ( t ) = N F ^ { A } - \frac { 1 } { 2 } R ^ { - 3 / 2 } ( \psi \chi ^ { A } - \bar { \psi } \phi ^ { A } ) .,4a23580f78.png
"\omega _ { 0 } ( x ) = W ^ { \prime } ( x ) - M ( x ) \sqrt { \prod _ { i = 1 } ^ { 2 k } ( x - x _ { i } ) } ,",6d091f6400.png
"1 / \alpha _ { G } ( \mu ) = k _ { G } / \alpha _ { \mathrm { s t r i n g } } + ( { b _ { 0 } / { 4 \pi } } ) \operatorname { l n } ( { m _ { s } ^ { 2 } / \mu ^ { 2 } } ) ~ ,",2869484c78.png
"\frac { 1 } { A ^ { r } B ^ { s } } = \frac { \Gamma ( r { + } s ) } { \Gamma ( r ) \Gamma ( s ) } \int _ { 0 } ^ { 1 } \frac { x ^ { r - 1 } ( 1 { - } x ) ^ { s - 1 } \, d x } { ( A x + B ( 1 { - } x ) ) ^ { r + s } }",17cc352aaa.png
"( D _ { 1 ^ { N } } ) _ { \pi , \sigma } = ( - ) ^ { I ( \pi ) } \delta _ { \pi , \sigma } \, ,",47f08c39c5.png
"\partial \varphi ( z ) \sigma _ { 1 , \epsilon } ( 0 ) = \frac { 1 } { 2 } z ^ { - 3 / 2 } \sigma _ { 0 , \epsilon } ( 0 ) + 2 z ^ { - 1 / 2 } \partial \sigma _ { 0 , \epsilon } ( 0 ) + \ldots",47dbeff8d2.png
"[ \delta _ { 1 } , \delta _ { 2 } ] \Psi ^ { \mu } = a ^ { \alpha } { \partial } _ { \alpha } \Psi ^ { \mu }",469f8a1ed8.png
"\xi ^ { A } = - \delta _ { \epsilon } X ^ { \mu \, A } - \delta _ { \eta } X ^ { \mu \, A } \, .",74b57d2ebc.png
"H ( x , z , \bar { z } ) = H ( \infty ) + \sum _ { j } \frac { 1 } { \sqrt { | z - z _ { j } | ^ { 2 } + ( x - x _ { j } ) ^ { 2 } / \Omega } } .",7f2724f64f.png
"\varepsilon _ { + } ^ { 1 } = e ^ { - \frac { 1 } { 2 } \sigma } \eta , \qquad \varepsilon _ { + } ^ { 2 } = - i \theta ( x ^ { 5 } ) e ^ { - \frac { 1 } { 2 } \sigma } \eta ,",eb363a1f84.png
"\mathrm { V o l } ( \Sigma ) = J . \Sigma ,",46f8ea2496.png
- \frac { 1 } { \kappa ^ { 2 } } \int _ { M _ { D } ^ { 1 1 } } d ^ { 1 1 } x \partial _ { 1 1 } ( \sqrt { - G } \frac { \sqrt { 2 } } { 9 6 } \bar { \psi } _ { \mu } \Gamma ^ { \mu \nu \xi \upsilon \rho 1 1 } \eta K _ { \nu \xi \upsilon \rho } ),12fcfe666e.png
\phi _ { F } ^ { \dot { a } } = V _ { F L } ^ { \dot { a } } - M _ { \dot { a } \dot { b } } V _ { F R } ^ { \dot { b } },92bdb205f3.png
"\left( 1 - S \frac { \partial } { \partial S } \right) D = \left( \sum m _ { i } \frac { \partial } { \partial m _ { i } } + \sum g _ { j } \frac \partial { \partial g _ { j } } \right) D ,",54e9ea32ee.png
{ \cal L } = - \frac { 1 } { 4 } F _ { \mu \nu } F ^ { \mu \nu } + \frac { 1 } { 1 2 } H _ { \mu \nu \lambda } H ^ { \mu \nu \lambda } - \frac { m } { 6 } \epsilon ^ { \mu \nu \lambda \rho } H _ { \mu \nu \lambda } A _ { \rho },12f741e874.png
\begin{array} { r c l } { \left( \Delta \nu \right) _ { Q } } & { = } & { \displaystyle \frac { \nu _ { \mathrm { v i b } } } { 2 } \left[ 2 \left( v ^ { \prime } + { \frac { 1 } { 2 } } + c _ { 0 } + c _ { 1 } J ( J + 1 ) \right) \right] _ { \left< \left( \gamma _ { 0 } + \gamma _ { 1 } J ( J + 1 ) \right) / 2 \right> } } \\ \end{array},5536695367.png
"L ( t , s ) = \left\{ \begin{array} { l l } { H ( s , 2 t ) } & { \mathrm { ~ 0 \leq ~ t ~ \leq ~ { \frac { 1 } { ~ 2 } } ~ } } \\ { H ( s , 2 t - 1 ) } & { \mathrm { ~ { \frac { 1 } { ~ 2 } } ~ \leq ~ t ~ \leq ~ 1 ~ } } \\ \end{array} \right.",345fb96833.png
"H _ { I } ^ { ( b ) } = \left\{ \vec { e } _ { a } \rightarrow \vec { e } _ { a } \hspace { 0 . 3 c m } , \hspace { 0 . 3 c m } \vec { e } _ { a } \rightarrow - ( - 1 ) ^ { \delta _ { b a } } \vec { e } _ { a } \right\}",459b2e57c5.png
\langle { \cal O } \rangle _ { A } = \langle { \cal O } \rangle _ { L } + \int _ { 0 } ^ { 1 } d \kappa \int D \phi \biggl ( \tilde { \delta } _ { 1 } [ \phi ] + \kappa \tilde { \delta } _ { 2 } [ \phi ] \biggr ) \Theta ^ { \prime } [ \phi ] { \frac { \delta { \cal O } } { \delta \phi } } e ^ { i S _ { \mathrm { e f f } } ^ { M } } .,6f7c830422.png
"f _ { \ell } ( k , r ) \equiv w _ { \ell } ( k r ) g _ { \ell } ( k , r ) \quad \mathrm { a n d } \quad \phi _ { \ell } ( k , r ) \equiv \frac { ( - k ) ^ { - \nu + \frac { 1 } { 2 } } } { 2 \nu } \frac { h _ { \ell } ( k , r ) } { w _ { \ell } ( k r ) } \, ,",4acfa40cd4.png
W ^ { \mathrm { \tiny { r e g } } } = \eta \left[ - { \frac { 1 } { 1 2 \pi } } m ^ { 3 } a _ { 0 } + { \frac { 1 } { 8 \pi } } m a _ { 1 } - { \frac { 1 } { 1 6 \pi } } { \frac { 1 } { m } } a _ { 2 } + O ( m ^ { - 3 } ) \right] ~ ~ ~ .,5d1e57e1f6.png
"\{ [ R , R , R ] \} = 0 , \ \ R ( K , J ) ^ { - 1 } = R ( J , K ) ^ { + } \ \mathrm { f o r } \ J \neq K .",2f070db4c0.png
* \phi = e ^ { 1 2 3 4 } + e ^ { 1 2 5 6 } + e ^ { 3 4 5 6 } + e ^ { 1 3 5 7 } - e ^ { 1 4 6 7 } - e ^ { 2 3 6 7 } - e ^ { 2 4 5 7 } .,501dbbed05.png
"H _ { 1 } = 1 + \sum _ { i } { \frac { Q _ { i } } { [ | \vec { x } - \vec { x } _ { 0 \, i } | ^ { 2 } + 4 Q | \vec { z } - \vec { z } _ { 0 } | ] ^ { 2 } } } , \ \ \ H _ { 2 } = { \frac { Q } { | \vec { z } - \vec { z } _ { 0 } | } } .",6a5511e69e.png
"( P _ { \pm } , P _ { \pm } ) _ { P B } = \pm \partial , \quad ( P _ { \pm } , P _ { \mp } ) _ { P B } = 0 .",6833bfb8ac.png
\delta A = - \delta \bar { \theta } \Gamma _ { 1 1 } \Gamma _ { m } \theta \Pi ^ { m } + { \frac { 1 } { 2 } } \delta \bar { \theta } \Gamma _ { 1 1 } \Gamma _ { m } \theta \bar { \theta } \Gamma ^ { m } d \theta - { \frac { 1 } { 2 } } \delta \bar { \theta } \Gamma ^ { m } \theta \bar { \theta } \Gamma _ { 1 1 } \Gamma _ { m } d \theta .,420f6adb0f.png
"\partial _ { \mu } \left( \sqrt { - \mathrm { d e t } G } \, G ^ { \mu \nu } \partial _ { \nu } \Phi \right) = 0",33e2d74c2c.png
"L = \frac { 1 } { ( n + 1 ) ! } \, \partial u \, \bar { \partial } u \, ( \partial \bar { \partial } u ) ^ { n - 1 } + \kappa \, u \, ^ { * } 1",6dc35535e3.png
"q ( a , b , r ) = \frac { 1 } { 8 \pi } \sum _ { \omega l \lambda } ( 2 l + 1 ) \omega ^ { 4 } \beta _ { \lambda l } ^ { 2 } f _ { \lambda l } ^ { ( q ) } ( \omega a , \omega r ) , \quad q = \varepsilon , \, p , \, p _ { \perp } ,",2c6a1622d4.png
"{ \omega } ( X _ { a } , X _ { b } ) ( g K g ^ { - 1 } ) = T r g K g ^ { - 1 } [ X _ { a } , X _ { b } ] ,",364e14a3ab.png
\langle \Omega | W \left( x _ { \perp } \right) | \Omega \rangle \quad \propto \quad \langle \Omega | u \left( x _ { \perp } \right) | \Omega \rangle,49ea2f30e1.png
"m u l t ( x _ { 1 } ) \rightarrow i d , \; \frac { \partial } { \partial x _ { 1 } } \rightarrow \beta - t \frac { d } { d t } .",75e8452966.png
"V _ { \mathrm { \footnotesize \it ~ \hspace { - 6 p t } ~ e f f \, } } ( \lambda ) = \mp \ell ^ { - 4 } \left[ { \frac { A \lambda ^ { 4 } } { ( 1 - \lambda ) ^ { 4 } } } + \alpha + \beta \lambda ^ { 4 } \right] ,",c8db8951e0.png
w ^ { a b } = w ^ { a b } ( e ) + \kappa ^ { a b } ( A ),1c7dfc1829.png
\Delta L ( x ) = \sum _ { I } \hat { A } _ { I } O _ { I } ( x ),16a683ff92.png
\: \langle \: q _ { F } \; ; t _ { F } \: | \: q _ { I } \; ; t _ { I } \: \rangle \:,246d688445.png
r _ { + } = \frac { 1 } { 2 \lambda } \operatorname { l n } \ \left( \frac { M } { \lambda } \right) \ .,bfb594ae96.png
"X ^ { I J } \equiv \nabla X ^ { I } \times \nabla X ^ { J } \, .",1ecd0cce10.png
\int _ { { \cal { C } } _ { \omega } } { \pi ^ { * } \eta \cdot \sigma } > > \int _ { { \cal { C } } _ { \omega } } { F },38eff3be18.png
\mathrm { T r } \operatorname { l n } H = - \int _ { 0 } ^ { \infty } { \frac { d \tau } { \tau } } \mathrm { T r } \; e ^ { - \tau H } \; .,e0f294ddaf.png
R _ { 1 } ( \theta ) = S ( \theta - i \psi ) R _ { 0 } ( \theta ) S ( \theta + i \psi ),67039b57ef.png
"\int _ { 2 + 1 } \, { \frac { \phi ^ { N } } { M _ { p } ^ { N - 2 } } } \, A .",7a3374a8f5.png
"\Gamma _ { 4 , t r e e } ^ { \hat { \varepsilon } ^ { 0 } a _ { 0 } . . . \hat { \varepsilon } ^ { 3 } a _ { 3 } } \propto \left[ ( \hat { \varepsilon } ^ { 0 } \cdot \hat { \varepsilon } ^ { 1 } ) ( \hat { \varepsilon } ^ { 2 } \cdot \hat { \varepsilon } ^ { 3 } ) f ^ { a _ { 0 } a _ { 3 } e } f ^ { a _ { 1 } a _ { 2 } e } + p e r m . \right] \neq 0 .",3930632192.png
"D _ { \mu } \phi = \partial _ { \mu } \phi + i [ A _ { \mu } , \phi ] , \quad D _ { \mu } \Psi = \partial _ { \mu } \Psi + i [ A _ { \mu } , \Psi ] .",7c6981686e.png
H = \frac { p ^ { 2 } } { 2 m } + \frac { m \omega ^ { 2 } x ^ { 2 } } { 2 },48716d0acc.png
L _ { \mathrm { B R S } } ^ { \prime \prime } = \mathrm { } - \frac { 1 } { 2 } \partial _ { \mu } A _ { \nu } \partial ^ { \mu } A ^ { \nu } - \frac { m ^ { 2 } } { 2 } A _ { \mu } A ^ { \mu } - \frac { 1 } { 2 } \partial _ { \mu } \theta \partial ^ { \mu } \theta - \frac { m ^ { 2 } } { 2 } \theta ^ { 2 } .,3c43d776f9.png
"D = - i g \sum _ { \alpha \in \Delta } z ( \alpha \cdot q ) K ( \alpha ) , \quad K ( \alpha ) _ { \beta \gamma } = \delta _ { \beta , \gamma } \left( \delta _ { \alpha , \beta } + \theta ( \alpha \cdot \beta ) \right) ,",44a77af53f.png
S _ { b } = { \frac { 1 } { 4 \kappa } } \left\{ L ^ { 2 } ( R _ { 1 } ^ { 2 } + R _ { 2 } ^ { 2 } ) + ( R _ { 1 } ) ^ { 2 } ( R _ { 2 } ) ^ { 2 } \operatorname { s i n } ^ { 2 } \theta \right\} .,345da7d92f.png
"D e t \, Y \equiv q ^ { 2 H _ { 0 } } = 1 + q \lambda [ H _ { 0 } ] _ { q }",3b844eb9dd.png
\frac { \alpha ^ { \prime } } 2 M ^ { 2 } = \frac { ( w R ) ^ { 2 } } { 2 \alpha ^ { \prime } } - 1 .,219aed3853.png
"Q + \Pi _ { ( p ) } { \overline { Q } } = \int _ { 0 } ^ { \pi } d \xi ^ { 1 } \; ( S + \Pi _ { ( p ) } { \overline { S } } ) \ \ ,",3308aade34.png
"\begin{array} { l l } { S _ { H } ^ { ( 2 ) } = \int [ d ^ { 2 } z ] { \pounds } _ { H } ^ { ( 2 ) } = } & { \eta _ { 0 } \int \left[ d ^ { 2 } z \right] \, \left[ p _ { 0 } \left( \left| \psi \right| ^ { 2 } + \left| \varphi \right| ^ { 2 } \right) + \right. \nonumber } \\ \end{array}",5722c98f5f.png
"{ \partial } _ { \mu } G ^ { { \mu } { \nu } { \sigma } } = 0 ,",78bb78be0f.png
\begin{array} { l l l } { J ( z ) } & { = } & { \frac { 1 } { k + \check { g } } \{ S _ { a } ^ { a } - \frac { 1 } { ( \check { g } - \check { s } ) } \Omega _ { c a } ^ { c b } S _ { b } ^ { a } + k \psi ^ { a } \psi _ { a } } \\ \end{array},3bf3f9fce0.png
\gamma = \frac { 1 } { 3 } \Phi _ { 1 0 },3594151855.png
"\epsilon = e ^ { \frac { 1 } { 2 } a r \gamma _ { r } } \left( 1 + \frac { 1 } { 2 } a x ^ { \alpha } \gamma _ { \alpha } ( 1 - \gamma _ { r } ) \right) \epsilon _ { 0 } ,",321a239adc.png
"\psi _ { \bar { a } } ( \theta + i \frac { \pi } { 2 } ) \psi _ { a } ( \theta - i \frac { \pi } { 2 } ) = 1 ,",f17cca404c.png
"\sum _ { i \geq 1 } [ i ] e ( \mathcal { M } ( 0 , C _ { h } , - a ) _ { i } ) = \sum _ { i \geq 1 } [ a + 1 + i ] e ( \mathcal { M } ( 1 , C _ { h } , 1 + a ) _ { a + i + 1 } ) .",6ac0355baf.png
M _ { 1 } \ldots M _ { n } ( A _ { 1 } B _ { 1 } ^ { - 1 } A _ { 1 } ^ { - 1 } B _ { 1 } ) \ldots ( A _ { g } B _ { g } ^ { - 1 } A _ { g } ^ { - 1 } B _ { g } ) = I,666a06b0cc.png
"\phi ( r ) = 2 f _ { \phi } \operatorname { l n } \! \Big ( \frac { g } { 8 \pi f _ { \phi } r } \sqrt { \frac { 1 } { 2 } - \frac { 1 } { 2 N _ { c } } } \Big ) ,",50b5486118.png
"\gamma ^ { \mu } \Psi _ { , \mu } = - i \gamma ^ { \mu } \frac { e ^ { \gamma ^ { 5 } \alpha } } { \rho } \{ I m ( \overline { { \Psi } } _ { , \mu } \Psi ) - j _ { \mu } - \gamma ^ { 5 } [ I m ( \overline { { \Psi } } _ { , \mu } \gamma ^ { 5 } \Psi ) - g _ { \mu } ] \} \Psi",6dfed377c9.png
\delta J _ { t o t } [ \epsilon ] = \eta _ { 0 } \lambda \epsilon \{ \delta [ \rho ( \gamma _ { t t } - \gamma _ { x x } ) ] + \delta \gamma _ { x x } / 2 - \delta \rho ( \gamma _ { t t } - \gamma _ { x x } ) \},6dc5bfe91b.png
\int _ { 0 } ^ { \infty } d s \tilde { f } ^ { a } ( s ) \tilde { f } ^ { a } ( s ) = \sum _ { s } \tilde { f } ^ { a } ( s ) \tilde { f } ^ { a } ( s ) \Delta s .,35f53e6d56.png
\bar { c } ^ { \nu } ( x ) x ^ { \mu } ( \nabla _ { \mu } c _ { \nu } + \nabla _ { \nu } c _ { \mu } ) ( x ) .,3ec6d16ec8.png
"d ( f / U ) \wedge ( d \psi + \vec { \omega } \cdot d \vec { r } ) - \frac { 1 } { 2 } U \epsilon _ { i j k } \partial _ { i } ( f / U ) d r _ { j } \wedge d r _ { k } ,",657c8396f7.png
"\left\{ \begin{array} { l l } { 2 \partial _ { 2 } p = \partial _ { 1 } ^ { 2 } p - 2 p ^ { 2 } q , } \\ { 2 \partial _ { 2 } q = - \partial _ { 1 } ^ { 2 } q + 2 p q ^ { 2 } , } \\ \end{array} \right.",381abed743.png
"\frac { d \Delta E } { d t } _ { n e u t } \approx \int \Gamma \omega ,",1afd012b99.png
S = \int d \tau \lambda \sigma _ { a } \bar { \lambda } e _ { m } ^ { a } \partial _ { \tau } x ^ { m } = \int \lambda \sigma _ { a } \bar { \lambda } e ^ { a } .,3615acbc10.png
"\mathrm { \Lambda _ { \ m u } ( p ^ { \prime } , p ) = \frac { - \ a l p h a _ { s } } { 3 \ p i } \ g a m m a _ { \ m u } \Gamma ( 2 - \ o m e g a - \ s i g m a ) \left| ^ { \ a l p h a \to ( 1 / 2 ) ^ { + } } _ { \ o m e g a \to ( 3 / 2 ) ^ { + } } \right. ~ . }",6238cfc771.png
\Lambda _ { b r } = \sqrt { - \frac { 8 ( D - 2 ) } { ( D - 1 ) \kappa ^ { 2 } } \Lambda _ { b k } } \ .,6de7f338c5.png
\frac { d x _ { \mu } } { d s } \frac { \delta A } { \delta x _ { \mu } ( s ) } = \frac { \delta A } { \delta x _ { 1 } ( s ) } \Bigl | _ { x _ { 1 } = s } + \frac { d \vec { \phi } } { d s } \frac { \delta A } { \delta \vec { \phi } } = 0,4c3172edc6.png
"\Sigma ( t , r , \theta ) = A ( t ) \ \Sigma ( r , \theta ) \ A ^ { - 1 } ( t ) \ ,",75e730e4a4.png
"S _ { \mathrm { c l a s s } } = \int _ { M } B _ { p } \wedge d A _ { n - p - 1 } ,",a52b5360d0.png
"H = \int \, d \sigma \, ( \lambda _ { 0 } T _ { 0 } + \lambda _ { 1 } T _ { 1 } )",612e353202.png
\beta ( E ) = \beta _ { c } + \beta _ { c } \sum _ { n = 1 } ^ { \infty } a _ { n } ( E - E _ { c } ) ^ { n },3399b878c2.png
"\prod _ { x } D [ { \overline { \Psi } } _ { L } ( x ) e ^ { \frac { 1 } { 2 } } ( x ) ] D [ e ^ { \frac { 1 } { 2 } } ( x ) \Psi _ { L } ( x ) ] ,",44d8fca8f2.png
\frac { d } { d V d T } | \langle f | \mathrm { T } | i \rangle | ^ { 2 } = d \sigma ^ { ( 3 ) } \ \times \ \mathrm { b e a m \ f l u x } \ \times \ \mathrm { t a r g e t \ d e n s i t y },1e2d4b180d.png
"R _ { m n } = - \delta _ { m n } e ^ { 2 ( F - B ) } [ \Delta F + r ( \partial F ) ^ { 2 } + q ( \partial A \partial F ) + { \tilde { d } } ( \partial B \partial F ) ] ,",7e56759609.png
( n ) _ { q } ! = ( n ) _ { q } ( n - 1 ) _ { q } \cdots ( 1 ) _ { q } \; .,3d3558c862.png
\delta \phi ^ { I } = \overline { { \epsilon } } _ { 2 } ^ { i } ( \sigma ^ { I } { \sigma ^ { J } } ^ { \dagger } M - M \sigma ^ { J } { \sigma ^ { I } } ^ { \dagger } ) _ { i j } \epsilon _ { 1 j } \phi ^ { J } .,41811fce12.png
d e t [ \partial _ { t } \delta ( t - t ^ { \prime } ) - \delta ( t - t ^ { \prime } ) G ^ { \prime } ( \varphi ) ],2f9a60201e.png
"F ( \lambda = i / 2 ) = i ^ { N } P _ { 1 , 2 } P _ { 2 , 3 } \cdots P _ { N , N - 1 } .",68fe50b4d6.png
"T = \infty \; , \; \; \; \Sigma = 0 \; , \; \; T \Sigma = \frac { M } { 2 } \; .",5e427ed732.png
"m ^ { 2 } = T _ { 0 } ^ { 2 } n ^ { 2 } A ^ { 2 } + m _ { n e t w o r k } ^ { 2 } ,",20a5153ad0.png
"d * \, d \tau + i \mathrm { e } ^ { \phi } d \tau \wedge * \, d \tau + \frac { i } { 2 } G _ { 3 } \wedge * \, G _ { 3 } = 0",4bada1062e.png
"\tilde { z } = \left\{ \begin{array} { c c } { z , } & { k = 1 , \ldots , n - 4 , } \\ { ( z - z _ { k } ) / ( 1 - z _ { k } ) , } & { k = n - 3 , } \\ { 1 - z , } & { k = n - 2 , } \\ { z / ( z - 1 ) , } & { k = n - 1 . } \\ \end{array} \right.",182713b301.png
"{ \tilde { F } } ^ { \mu \nu \, \Lambda } = { \frac { 1 } { 2 } } \, \varepsilon ^ { \mu \nu \rho \sigma } \, F _ { \rho \sigma } ^ { \Lambda }",b5443f6543.png
